orderitem_uuid,order_uuid,item_uuid
3f5dc866-1b82-43b8-861c-9004b8b94a68,28b14ca4-2754-4fb1-8cb9-f0c4797b644f,a46ad606-2ddb-4473-b370-76f0834a6334
e72969d7-13a8-46e6-bc1e-822c25300912,a77e5b22-c325-4348-a108-da3d0c2dbc22,a46ad606-2ddb-4473-b370-76f0834a6334
c187a9cb-e954-4f72-a762-435473b8c495,83c35cc1-1f6a-4784-949e-4a8585efd64f,a46ad606-2ddb-4473-b370-76f0834a6334
50bd40da-1fc8-46bf-8ba4-1ae01f472b85,a77e5b22-c325-4348-a108-da3d0c2dbc22,3e6d3fb9-63ca-439e-a248-98668f4f6394
92d2221f-345f-429d-a1b3-5ce633c68239,8afd4e9e-620a-4de3-8012-814bee78ccb6,a6ee7342-3743-4ea2-b296-1e463c250eb1
964583ac-ebcc-46b6-92f2-7b5304b87dee,a77e5b22-c325-4348-a108-da3d0c2dbc22,3e6d3fb9-63ca-439e-a248-98668f4f6394
8515173b-569a-4b96-8fd1-3e2b4da42101,8afd4e9e-620a-4de3-8012-814bee78ccb6,a6ee7342-3743-4ea2-b296-1e463c250eb1
f054cef0-151b-4249-8adb-8345fb04c563,a77e5b22-c325-4348-a108-da3d0c2dbc22,72a1784c-532b-40dd-9f77-a5987ba5af47
064b58d1-9b70-4dd9-a682-1565a51cdf90,83c35cc1-1f6a-4784-949e-4a8585efd64f,3165ab8b-eb2e-42a0-9244-dcd0e0e36e73
bc84c01e-af78-4090-92eb-7af137c1c356,ac6d872b-6ea8-479c-a7ab-93b53c71533a,5a25d98c-71a2-452c-942d-18008d1ebf49
